TIME	TEAM	PLAY	SCORE
3:47		Kyrie Irving personal foul (Stephen Curry draws the foul)	106 - 125	
3:47		Dahntay Jones enters the game for LeBron James	106 - 125	
3:47		Deron Williams enters the game for Kevin Love	106 - 125	
3:47		Derrick Williams enters the game for Kyrie Irving	106 - 125	
3:47		Patrick McCaw enters the game for Andre Iguodala	106 - 125	
3:47		Channing Frye enters the game for Tristan Thompson	106 - 125	
3:47		James Jones enters the game for Richard Jefferson	106 - 125	
3:29		Stephen Curry makes 3-foot two point shot	106 - 127	
3:14		Channing Frye misses layup	106 - 127	
3:13		Klay Thompson defensive rebound	106 - 127	
3:09		Warriors Full timeout	106 - 127	
3:09		Matt Barnes enters the game for Kevin Durant	106 - 127	
3:09		Ian Clark enters the game for Draymond Green	106 - 127	
